Date,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-04-90,9392.251,1.712467526,1.156766734,0.204625117,0.976791495,1.712467526,0.300532971,-0.135073695,0.390047143,0.066500807,-0.91454869,0.776694733,1.078516394
01-07-90,9398.499,0.601065942,-0.176836138,-0.249184595,1.212704722,0.601065942,-0.477369109,-0.02569283,0.449971667,-0.91454869,-0.468941632,0.504024267,0.98342046
01-10-90,9312.937,-0.954738218,-0.7475165,-0.109533533,1.673776703,-0.954738218,-0.270147391,0.289917547,0.536205223,-0.468941632,0.776694733,0.347892821,1.03776127
01-01-91,9269.367,-0.540294781,-0.321533051,0.833789892,2.201488789,-0.540294781,-0.051385661,0.704638871,0.408369809,0.776694733,0.504024267,1.189943662,0.16726035
01-04-91,9341.642,-0.102771321,0.528449434,1.748957874,2.615172162,-0.102771321,0.579835095,0.780094286,0.346146525,0.504024267,0.347892821,1.078516394,0.580730119
01-07-91,9388.845,1.159670189,1.989112836,2.674594039,2.910759944,1.159670189,1.409277742,0.899943334,0.282741367,0.347892821,1.189943662,0.98342046,0.476179198
01-10-91,9421.565,2.818555484,2.969466314,3.457086938,3.087690729,2.818555484,1.560188572,1.072410447,0.321889559,1.189943662,1.078516394,1.03776127,1.350946809
01-01-92,9534.346,3.120377145,3.360075241,3.569187686,3.157045797,3.120377145,1.799886669,0.816739618,0.421674503,1.078516394,0.98342046,0.16726035,0.965539903
01-04-92,9637.732,3.599773337,3.944707562,3.481386449,3.284325296,3.599773337,2.144820893,0.69229305,0.517326641,0.98342046,1.03776127,0.580730119,1.345947222
01-07-92,9732.979,4.289641787,3.77830013,3.146925849,3.365009567,4.289641787,1.633479237,0.565482734,0.530655939,1.03776127,0.16726035,0.476179198,0.582813578
01-10-92,9834.51,3.266958474,3.018065336,2.718294521,3.332968556,3.266958474,1.384586099,0.643779119,0.504164212,0.16726035,0.580730119,1.350946809,1.139012993
01-01-93,9850.973,2.769172199,2.515551567,2.744903909,3.352336517,2.769172199,1.130965468,0.843349007,0.42773777,0.580730119,0.476179198,0.965539903,0.354128367
01-04-93,9908.347,2.261930936,2.418523706,3.087264142,3.30292145,2.261930936,1.287558237,1.034653283,0.296731458,0.476179198,1.350946809,1.345947222,0.297896724
01-07-93,9955.641,2.575116475,2.974256251,3.583093286,3.349944801,2.575116475,1.686698014,1.061311878,0.329764718,1.350946809,0.965539903,0.582813578,0.847079663
01-10-93,10091.049,3.373396028,3.756004579,3.947642591,3.300034094,3.373396028,2.069306565,1.008328424,0.271978852,0.965539903,1.345947222,1.139012993,0.676726063
01-01-94,10188.954,4.138613131,4.191930321,3.959769125,3.199341914,4.138613131,2.122623756,0.85547554,0.320982324,1.345947222,0.582813578,0.354128367,0.746156138
01-04-94,10327.019,4.245247511,4.139280604,3.518578758,3.172521955,4.245247511,2.016656848,0.593462916,0.490506682,0.582813578,1.139012993,0.297896724,1.654091591
01-07-94,10387.382,4.033313696,3.727607928,3.116796317,3.138111778,4.033313696,1.71095108,0.659529437,0.496245762,1.139012993,0.354128367,0.847079663,0.892992306
01-10-94,10506.372,3.42190216,2.897876912,2.652425597,3.17473105,3.42190216,1.186925831,0.543957704,0.540783484,0.354128367,0.297896724,0.676726063,1.033027835
01-01-95,10543.644,2.373851663,2.505984705,2.438914704,3.274943437,2.373851663,1.319058874,0.641964647,0.527950157,0.297896724,0.847079663,0.746156138,0.643489523
01-04-95,10575.1,2.638117748,2.406974282,2.826465152,3.505443357,2.638117748,1.087915409,0.981013364,0.527231377,0.847079663,0.676726063,1.654091591,1.648341356
01-07-95,10665.06,2.175830817,2.371844703,3.15942724,3.746672172,2.175830817,1.283929294,0.992491525,0.570993534,0.676726063,0.746156138,0.892992306,1.24308956
01-10-95,10737.478,2.567858588,3.245956022,3.697036503,4.023452083,2.567858588,1.962026728,1.081566968,0.548758763,0.746156138,1.654091591,1.033027835,0.855149663
01-01-96,10817.896,3.924053456,3.947009777,4.11097217,4.2951071,3.924053456,1.984983049,1.055900314,0.592637341,1.654091591,0.892992306,0.643489523,0.994518148
01-04-96,10998.322,3.969966098,4.148116984,4.184421561,4.306388566,3.969966098,2.163133935,1.054462755,0.501788148,0.892992306,1.033027835,1.648341356,0.921547812
01-07-96,11096.976,4.32626787,4.274934563,4.333917105,4.312143216,4.32626787,2.111800628,1.141987068,0.502000412,1.033027835,0.643489523,1.24308956,1.244787674
01-10-96,11212.205,4.223601255,4.220726137,4.349867662,4.366836917,4.223601255,2.10892551,1.097517525,0.595477184,0.643489523,1.648341356,0.855149663,1.602963841
01-01-97,11284.587,4.21785102,4.392899647,4.47924203,4.427801788,4.21785102,2.283974137,1.185274682,0.588915028,1.648341356,1.24308956,0.994518148,0.942020899
01-04-97,11472.137,4.567948273,4.479009187,4.428355571,4.470068924,4.567948273,2.195035051,1.003576296,0.569498514,1.24308956,0.855149663,0.921547812,0.766215698
01-07-97,11615.636,4.390070102,4.565584414,4.290369327,4.475620804,4.390070102,2.370549363,1.004000824,0.576545414,0.855149663,0.994518148,1.244787674,1.301162875
01-10-97,11715.393,4.741098727,4.377701955,4.383806171,4.513699935,4.741098727,2.007152592,1.190954369,0.586837893,0.994518148,0.921547812,1.602963841,1.685303673
