date,gz_spr,baa_aaa,cp_treas1mo,gz_spr_oa_p,ebp,cons,invest_tot,gdp,pgdp,xmktret,treas10yr,ffr_eff,cistds,roa,termspr,ffr_r,cons_nds,cons_d,invest_res,invest_es,invest_ht,invest_nrs,invbus
1971Q1,,1.3133,0.3105,,,2802.184,265.2715,4374.016,25.1150,38.3957,5.9995,3.8852,,,-2.1290,-0.8230,2743.735,169.8476,283.9028,207.2833,2.3562,258.2015,767.0322
1971Q2,,1.1333,0.4744,,,2827.852,269.1671,4398.829,25.4510,-4.7273,6.2516,4.5742,,,-1.9305,-0.3103,2762.586,173.6997,312.5527,210.6854,2.5244,257.5332,775.2734
1971Q3,,1.1467,0.5506,,,2850.437,270.2260,4433.943,25.7050,-6.7920,6.5202,5.4639,,,-1.4434,0.5661,2775.988,178.3145,327.9510,212.0690,2.5711,256.6081,783.1417
1971Q4,,1.1133,0.6172,,,2897.849,275.9996,4446.264,25.9090,13.2190,6.0026,4.6875,,,-1.7263,-0.0415,2809.782,185.9252,340.6602,218.9300,2.7113,255.9362,782.4019
1972Q1,,1.0000,0.1959,,,2936.524,285.2985,4525.769,26.3330,22.6945,6.1079,3.5723,,,-2.6150,-0.3327,2842.621,190.1771,363.3817,226.5990,2.8567,262.6266,785.1107
1972Q2,,0.9467,0.6612,,,2992.603,290.0257,4633.101,26.4860,-3.5233,6.2148,4.3039,,,-2.3918,0.6983,2893.827,194.9529,370.5112,233.3616,2.8258,264.1004,794.5989
1972Q3,,0.9633,0.5175,,,3038.802,294.5491,4677.503,26.7280,5.0388,6.2976,4.7263,,,-2.0286,1.5807,2933.401,199.9575,371.3714,239.4674,2.8548,264.6843,804.3432
1972Q4,,0.8567,0.2797,,,3110.052,309.9240,4754.546,27.0410,21.6177,6.3217,5.1502,,,-1.3919,2.1913,2986.951,210.5427,384.6386,259.8217,2.8898,268.8983,808.0759
1973Q1,0.8896,0.7467,0.4616,0.7441,0.0209,3166.962,324.3258,4876.166,27.3940,-39.4963,6.5570,6.5090,43.2000,0.5605,-0.7717,3.4919,3017.455,223.9356,397.5725,274.1760,3.0397,277.6816,813.8449
1973Q2,0.8471,0.7867,0.8173,0.8289,-0.0316,3165.371,337.5689,4932.571,27.8510,-42.7824,6.7075,7.8087,57.6000,0.6455,-0.0131,5.0573,3022.515,221.3165,377.3463,286.6620,3.1928,286.3559,827.0789
1973Q3,0.6955,0.8800,1.1203,0.8899,-0.3143,3176.705,343.2829,4906.252,28.3830,21.7848,7.1703,10.5232,17.7400,0.6104,1.2794,7.0809,3040.342,219.3951,361.3358,288.7757,3.3483,292.8282,832.8852
1973Q4,1.0661,0.7867,1.2714,0.9647,0.0523,3167.420,346.0895,4953.050,28.8690,-57.4815,6.7737,9.9782,14.5200,0.9723,0.8265,5.9668,3042.523,214.3540,344.0699,291.1273,3.5853,290.1337,847.0864
1974Q1,0.9828,0.6467,0.5879,1.0106,-0.0035,3139.695,345.8817,4909.617,29.4650,-14.3506,7.0603,9.3258,57.2600,0.5503,0.6899,4.5590,3023.460,209.4392,318.8376,290.5744,3.6539,288.5016,853.6979
1974Q2,1.1519,0.7000,1.3760,1.0850,0.2001,3150.649,345.2233,4922.188,30.1250,-56.0559,7.7862,11.1803,76.6100,0.5456,0.4853,5.4030,3033.024,210.6093,304.9350,291.0699,3.5916,287.3127,862.9494
