IND;DATE
-0,92556;1990-01-01
0,50279;1990-02-01
0,76547;1990-03-01
0,54418;1990-04-01
1,4316;1990-05-01
1,70879;1990-06-01
2,51861;1990-07-01
1,91414;1990-08-01
2,40002;1990-09-01
1,69665;1990-10-01
0,17916;1990-11-01
-1,07648;1990-12-01
-0,84764;1991-01-01
-2,49576;1991-02-01
-3,47898;1991-03-01
-3,14145;1991-04-01
-2,38007;1991-05-01
-1,80623;1991-06-01
-1,56183;1991-07-01
-1,80048;1991-08-01
-1,05146;1991-09-01
-0,47585;1991-10-01
0,58623;1991-11-01
0,84595;1991-12-01
0,71909;1992-01-01
2,15369;1992-02-01
3,54513;1992-03-01
4,12474;1992-04-01
3,42896;1992-05-01
2,51004;1992-06-01
3,31335;1992-07-01
2,71713;1992-08-01
2,04731;1992-09-01
2,99213;1992-10-01
3,54882;1992-11-01
4,05613;1992-12-01
5,09478;1993-01-01
4,80992;1993-02-01
3,80061;1993-03-01
3,38102;1993-04-01
2,68716;1993-05-01
2,84271;1993-06-01
2,23615;1993-07-01
2,63377;1993-08-01
2,88559;1993-09-01
2,90369;1993-10-01
2,89229;1993-11-01
3,36194;1993-12-01
3,30583;1994-01-01
2,87798;1994-02-01
4,06016;1994-03-01
4,28403;1994-04-01
5,18322;1994-05-01
5,67929;1994-06-01
5,51558;1994-07-01
6,25436;1994-08-01
6,15168;1994-09-01
6,23494;1994-10-01
6,44875;1994-11-01
6,9812;1994-12-01
6,77251;1995-01-01
6,56973;1995-02-01
5,65874;1995-03-01
4,99626;1995-04-01
4,81616;1995-05-01
4,5049;1995-06-01
3,92995;1995-07-01
4,62002;1995-08-01
4,64067;1995-09-01
3,63433;1995-10-01
3,25868;1995-11-01
2,5756;1995-12-01
1,71911;1996-01-01
3,45404;1996-02-01
3,20809;1996-03-01
4,21885;1996-04-01
4,62666;1996-05-01
5,15393;1996-06-01
5,43699;1996-07-01
4,72649;1996-08-01
5,02649;1996-09-01
5,09332;1996-10-01
5,755;1996-11-01
6,03761;1996-12-01
6,88661;1997-01-01
6,53872;1997-02-01
7,35305;1997-03-01
6,40484;1997-04-01
6,2496;1997-05-01
5,87329;1997-06-01
6,81934;1997-07-01
7,31312;1997-08-01
7,52598;1997-09-01
8,5156;1997-10-01
8,51027;1997-11-01
8,14208;1997-12-01
8,54357;1998-01-01
7,38703;1998-02-01
6,74478;1998-03-01
7,11466;1998-04-01
7,16846;1998-05-01
5,97907;1998-06-01
4,8115;1998-07-01
5,85669;1998-08-01
4,71958;1998-09-01
4,667;1998-10-01
3,68875;1998-11-01
3,75386;1998-12-01
3,70698;1999-01-01
4,12327;1999-02-01
4,21805;1999-03-01
4,11551;1999-04-01
4,1699;1999-05-01
4,65248;1999-06-01
5,68191;1999-07-01
3,99234;1999-08-01
3,7563;1999-09-01
4,2955;1999-10-01
4,85614;1999-11-01
5,27567;1999-12-01
4,8035;2000-01-01
4,55741;2000-02-01
4,77013;2000-03-01
5,23921;2000-04-01
4,69776;2000-05-01
4,97361;2000-06-01
4,15574;2000-07-01
3,41602;2000-08-01
4,25502;2000-09-01
2,57974;2000-10-01
2,12528;2000-11-01
1,05991;2000-12-01
0,39182;2001-01-01
-0,54618;2001-02-01
-1,13705;2001-03-01
-2,13017;2001-04-01
-2,89356;2001-05-01
-3,56661;2001-06-01
-3,97246;2001-07-01
-3,81036;2001-08-01
-4,54656;2001-09-01
-4,68096;2001-10-01
-5,17371;2001-11-01
-4,88665;2001-12-01
-3,66535;2002-01-01
-3,07058;2002-02-01
-2,05089;2002-03-01
-1,35885;2002-04-01
-0,33292;2002-05-01
1,22053;2002-06-01
1,55828;2002-07-01
1,69765;2002-08-01
2,22985;2002-09-01
2,36651;2002-10-01
3,40749;2002-11-01
2,87601;2002-12-01
3,0088;2003-01-01
3,18257;2003-02-01
2,11094;2003-03-01
0,96401;2003-04-01
0,56716;2003-05-01
-0,21402;2003-06-01
0,46608;2003-07-01
0,30964;2003-08-01
0,76013;2003-09-01
1,20806;2003-10-01
1,45828;2003-11-01
1,88583;2003-12-01
1,37359;2004-01-01
1,84294;2004-02-01
1,57144;2004-03-01
2,7645;2004-04-01
3,55004;2004-05-01
2,52478;2004-06-01
2,86179;2004-07-01
3,08464;2004-08-01
2,56774;2004-09-01
3,39833;2004-10-01
2,82291;2004-11-01
3,65315;2004-12-01
3,86506;2005-01-01
3,94964;2005-02-01
4,30349;2005-03-01
4,00979;2005-04-01
3,32657;2005-05-01
4,58506;2005-06-01
3,45729;2005-07-01
3,66561;2005-08-01
1,64493;2005-09-01
1,95618;2005-10-01
2,7741;2005-11-01
2,65621;2005-12-01
2,30623;2006-01-01
1,61164;2006-02-01
1,98276;2006-03-01
2,21959;2006-04-01
1,98357;2006-05-01
1,98429;2006-06-01
2,27021;2006-07-01
2,39055;2006-08-01
4,12662;2006-09-01
2,77088;2006-10-01
1,64192;2006-11-01
2,066;2006-12-01
1,41556;2007-01-01
2,43354;2007-02-01
2,44581;2007-03-01
2,7538;2007-04-01
2,90729;2007-05-01
2,54233;2007-06-01
2,5417;2007-07-01
2,36767;2007-08-01
2,97272;2007-09-01
2,59663;2007-10-01
3,30003;2007-11-01
2,24839;2007-12-01
2,50612;2008-01-01
1,1427;2008-02-01
0,68384;2008-03-01
-0,77621;2008-04-01
-1,38321;2008-05-01
-1,64228;2008-06-01
-2,12633;2008-07-01
-3,83779;2008-08-01
-8,36288;2008-09-01
-7,09903;2008-10-01
-8,80373;2008-11-01
-11,47992;2008-12-01
-13,34889;2009-01-01
-13,61788;2009-02-01
-14,78591;2009-03-01
-14,82082;2009-04-01
-15,20163;2009-05-01
-15,33412;2009-06-01
-13,94709;2009-07-01
-11,63078;2009-08-01
-6,92564;2009-09-01
-7,50746;2009-10-01
-5,9577;2009-11-01
-2,82986;2009-12-01
0,68862;2010-01-01
1,7068;2010-02-01
4,02546;2010-03-01
5,25222;2010-04-01
7,87526;2010-05-01
8,45888;2010-06-01
7,74863;2010-07-01
6,88145;2010-08-01
6,32282;2010-09-01
5,70262;2010-10-01
5,31429;2010-11-01
6,01093;2010-12-01
4,66071;2011-01-01
3,82786;2011-02-01
4,1739;2011-03-01
3,41616;2011-04-01
2,16119;2011-05-01
2,3038;2011-06-01
2,39907;2011-07-01
2,65732;2011-08-01
2,39682;2011-09-01
3,37637;2011-10-01
3,26367;2011-11-01
2,83958;2011-12-01
3,60249;2012-01-01
4,29763;2012-02-01
2,78943;2012-03-01
3,93461;2012-04-01
3,89744;2012-05-01
3,57852;2012-06-01
3,30096;2012-07-01
2,2349;2012-08-01
2,30979;2012-09-01
1,82512;2012-10-01
2,39792;2012-11-01
2,19319;2012-12-01
1,43663;2013-01-01
1,78598;2013-02-01
2,67893;2013-03-01
1,73753;2013-04-01
1,65367;2013-05-01
1,88073;2013-06-01
1,18104;2013-07-01
2,33807;2013-08-01
2,81478;2013-09-01
2,41758;2013-10-01
2,22547;2013-11-01
2,17544;2013-12-01
1,88573;2014-01-01
2,16194;2014-02-01
2,72808;2014-03-01
2,95239;2014-04-01
3,21148;2014-05-01
3,38699;2014-06-01
4,03397;2014-07-01
3,23699;2014-08-01
3,01489;2014-09-01
3,21698;2014-10-01
3,71993;2014-11-01
3,25554;2014-12-01
3,17265;2015-01-01
1,78663;2015-02-01
0,53304;2015-03-01
-0,10503;2015-04-01
-0,89606;2015-05-01
-1,60396;2015-06-01
-1,22273;2015-07-01
-1,26684;2015-08-01
-1,92508;2015-09-01
-2,30367;2015-10-01
-3,72836;2015-11-01
-4,13779;2015-12-01
