,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-04-90,9392.251,2.38412,2.58318,2.92672,3.4309,2.38412,1.19206,0.59603,0.29801,0.36225,0.36225,0.36225,0.36225
01-07-90,9398.499,1.71247,2.04829,2.39642,3.13154,1.71247,0.85623,0.42812,0.21406,0.0665,0.0665,0.0665,0.0665
01-10-90,9312.937,0.60107,1.15677,1.86997,2.74061,0.60107,0.30053,0.15027,0.07513,-0.91455,-0.91455,-0.91455,-0.91455
01-01-91,9269.367,-0.95474,-0.17684,0.93573,2.09318,-0.95474,-0.47737,-0.23868,-0.11934,-0.46894,-0.46894,-0.46894,-0.46894
01-04-91,9341.642,-0.54029,-0.74752,0.20463,1.56567,-0.54029,-0.27015,-0.13507,-0.06754,0.77669,0.77669,0.77669,0.77669
01-07-91,9388.845,-0.10277,-0.32153,-0.24918,1.07362,-0.10277,-0.05139,-0.02569,-0.01285,0.50402,0.50402,0.50402,0.50402
01-10-91,9421.565,1.15967,0.52845,-0.10953,0.88022,1.15967,0.57984,0.28992,0.14496,0.34789,0.34789,0.34789,0.34789
01-01-92,9534.346,2.81856,1.98911,0.83379,0.88476,2.81856,1.40928,0.70464,0.35232,1.18994,1.18994,1.18994,1.18994
01-04-92,9637.732,3.12038,2.96947,1.74896,0.97679,3.12038,1.56019,0.78009,0.39005,1.07852,1.07852,1.07852,1.07852
01-07-92,9732.979,3.59977,3.36008,2.67459,1.2127,3.59977,1.79989,0.89994,0.44997,0.98342,0.98342,0.98342,0.98342
01-10-92,9834.51,4.28964,3.94471,3.45709,1.67378,4.28964,2.14482,1.07241,0.53621,1.03776,1.03776,1.03776,1.03776
01-01-93,9850.973,3.26696,3.7783,3.56919,2.20149,3.26696,1.63348,0.81674,0.40837,0.16726,0.16726,0.16726,0.16726
01-04-93,9908.347,2.76917,3.01807,3.48139,2.61517,2.76917,1.38459,0.69229,0.34615,0.58073,0.58073,0.58073,0.58073
01-07-93,9955.641,2.26193,2.51555,3.14693,2.91076,2.26193,1.13097,0.56548,0.28274,0.47618,0.47618,0.47618,0.47618
01-10-93,10091.049,2.57512,2.41852,2.71829,3.08769,2.57512,1.28756,0.64378,0.32189,1.35095,1.35095,1.35095,1.35095
01-01-94,10188.954,3.3734,2.97426,2.7449,3.15705,3.3734,1.6867,0.84335,0.42167,0.96554,0.96554,0.96554,0.96554
01-04-94,10327.019,4.13861,3.756,3.08726,3.28433,4.13861,2.06931,1.03465,0.51733,1.34595,1.34595,1.34595,1.34595
01-07-94,10387.382,4.24525,4.19193,3.58309,3.36501,4.24525,2.12262,1.06131,0.53066,0.58281,0.58281,0.58281,0.58281
01-10-94,10506.372,4.03331,4.13928,3.94764,3.33297,4.03331,2.01666,1.00833,0.50416,1.13901,1.13901,1.13901,1.13901
01-01-95,10543.644,3.4219,3.72761,3.95977,3.35234,3.4219,1.71095,0.85548,0.42774,0.35413,0.35413,0.35413,0.35413
01-04-95,10575.1,2.37385,2.89788,3.51858,3.30292,2.37385,1.18693,0.59346,0.29673,0.2979,0.2979,0.2979,0.2979
01-07-95,10665.06,2.63812,2.50598,3.1168,3.34994,2.63812,1.31906,0.65953,0.32976,0.84708,0.84708,0.84708,0.84708
01-10-95,10737.478,2.17583,2.40697,2.65243,3.30003,2.17583,1.08792,0.54396,0.27198,0.67673,0.67673,0.67673,0.67673
01-01-96,10817.896,2.56786,2.37184,2.43891,3.19934,2.56786,1.28393,0.64196,0.32098,0.74616,0.74616,0.74616,0.74616
01-04-96,10998.322,3.92405,3.24596,2.82647,3.17252,3.92405,1.96203,0.98101,0.49051,1.65409,1.65409,1.65409,1.65409
01-07-96,11096.976,3.96997,3.94701,3.15943,3.13811,3.96997,1.98498,0.99249,0.49625,0.89299,0.89299,0.89299,0.89299
01-10-96,11212.205,4.32627,4.14812,3.69704,3.17473,4.32627,2.16313,1.08157,0.54078,1.03303,1.03303,1.03303,1.03303
01-01-97,11284.587,4.2236,4.27493,4.11097,3.27494,4.2236,2.1118,1.0559,0.52795,0.64349,0.64349,0.64349,0.64349
01-04-97,11472.137,4.21785,4.22073,4.18442,3.50544,4.21785,2.10893,1.05446,0.52723,1.64834,1.64834,1.64834,1.64834
01-07-97,11615.636,4.56795,4.3929,4.33392,3.74667,4.56795,2.28397,1.14199,0.57099,1.24309,1.24309,1.24309,1.24309
01-10-97,11715.393,4.39007,4.47901,4.34987,4.02345,4.39007,2.19504,1.09752,0.54876,0.85515,0.85515,0.85515,0.85515
01-01-98,11832.486,4.7411,4.56558,4.47924,4.29511,4.7411,2.37055,1.18527,0.59264,0.99452,0.99452,0.99452,0.99452
01-04-98,11942.032,4.01431,4.3777,4.42836,4.30639,4.01431,2.00715,1.00358,0.50179,0.92155,0.92155,0.92155,0.92155
01-07-98,12091.614,4.016,4.01515,4.29037,4.31214,4.016,2.008,1.004,0.502,1.24479,1.24479,1.24479,1.24479
