CON;DATE
7,09016;01.01.1990
6,88647;01.02.1990
7,31965;01.03.1990
6,407;01.04.1990
6,30666;01.05.1990
6,67022;01.06.1990
6,5817;01.07.1990
6,28901;01.08.1990
6,85276;01.09.1990
6,52246;01.10.1990
6,27453;01.11.1990
4,80701;01.12.1990
2,95655;01.01.1991
3,71493;01.02.1991
4,2105;01.03.1991
3,6366;01.04.1991
4,16865;01.05.1991
3,57471;01.06.1991
3,77581;01.07.1991
3,13905;01.08.1991
2,96116;01.09.1991
2,72309;01.10.1991
3,40143;01.11.1991
4,12296;01.12.1991
6,3447;01.01.1992
6,02064;01.02.1992
5,21339;01.03.1992
5,74339;01.04.1992
5,72562;01.05.1992
6,00431;01.06.1992
6,02118;01.07.1992
6,34401;01.08.1992
6,79098;01.09.1992
7,76408;01.10.1992
7,41583;01.11.1992
7,85723;01.12.1992
6,26729;01.01.1993
6,23979;01.02.1993
5,72018;01.03.1993
6,3391;01.04.1993
6,3486;01.05.1993
6,29384;01.06.1993
6,28092;01.07.1993
6,16456;01.08.1993
6,02073;01.09.1993
5,79037;01.10.1993
5,89699;01.11.1993
5,41232;01.12.1993
5,63043;01.01.1994
6,36696;01.02.1994
6,74325;01.03.1994
6,32084;01.04.1994
5,58746;01.05.1994
6,05631;01.06.1994
5,63226;01.07.1994
6,28194;01.08.1994
5,84063;01.09.1994
6,1794;01.10.1994
5,96166;01.11.1994
5,91761;01.12.1994
5,80358;01.01.1995
4,7101;01.02.1995
5,15282;01.03.1995
4,69054;01.04.1995
5,64514;01.05.1995
5,70409;01.06.1995
5,28746;01.07.1995
5,09596;01.08.1995
5,14136;01.09.1995
4,17628;01.10.1995
4,76625;01.11.1995
5,28544;01.12.1995
4,83386;01.01.1996
5,81347;01.02.1996
5,89307;01.03.1996
6,49871;01.04.1996
5,89285;01.05.1996
5,06881;01.06.1996
5,66778;01.07.1996
5,38829;01.08.1996
5,49945;01.09.1996
6,27456;01.10.1996
5,84698;01.11.1996
5,51447;01.12.1996
6,39833;01.01.1997
5,86814;01.02.1997
5,4298;01.03.1997
4,82527;01.04.1997
4,52544;01.05.1997
5,05564;01.06.1997
5,65319;01.07.1997
5,91469;01.08.1997
5,7603;01.09.1997
5,80276;01.10.1997
5,79122;01.11.1997
5,82865;01.12.1997
5,15237;01.01.1998
5,33309;01.02.1998
5,42884;01.03.1998
6,02275;01.04.1998
6,91733;01.05.1998
6,87088;01.06.1998
6,14908;01.07.1998
6,04976;01.08.1998
6,49624;01.09.1998
6,40509;01.10.1998
6,2585;01.11.1998
6,64781;01.12.1998
6,73123;01.01.1999
6,604;01.02.1999
6,65357;01.03.1999
7,05067;01.04.1999
6,6428;01.05.1999
6,51089;01.06.1999
6,64686;01.07.1999
6,77637;01.08.1999
6,92638;01.09.1999
6,72301;01.10.1999
7,02364;01.11.1999
7,71271;01.12.1999
7,61415;01.01.2000
8,48766;01.02.2000
9,01531;01.03.2000
7,66437;01.04.2000
7,7405;01.05.2000
7,83339;01.06.2000
7,68288;01.07.2000
7,47017;01.08.2000
7,90274;01.09.2000
7,59282;01.10.2000
7,21509;01.11.2000
6,22448;01.12.2000
6,75868;01.01.2001
5,68153;01.02.2001
4,51853;01.03.2001
4,94821;01.04.2001
5,06142;01.05.2001
4,69758;01.06.2001
4,55493;01.07.2001
4,55649;01.08.2001
1,88729;01.09.2001
4,64853;01.10.2001
3,84649;01.11.2001
2,90827;01.12.2001
2,82786;01.01.2002
3,18048;01.02.2002
3,5676;01.03.2002
4,34497;01.04.2002
3,34322;01.05.2002
3,64695;01.06.2002
4,35791;01.07.2002
4,11597;01.08.2002
5,393;01.09.2002
3,0839;01.10.2002
4,07093;01.11.2002
5,10794;01.12.2002
5,00118;01.01.2003
4,39993;01.02.2003
4,99088;01.03.2003
4,32009;01.04.2003
4,74275;01.05.2003
4,92471;01.06.2003
4,84798;01.07.2003
5,85017;01.08.2003
6,00731;01.09.2003
5,58494;01.10.2003
5,89702;01.11.2003
5,54254;01.12.2003
6,03072;01.01.2004
6,42126;01.02.2004
6,28553;01.03.2004
6,13568;01.04.2004
7,01485;01.05.2004
6,10267;01.06.2004
6,21204;01.07.2004
5,34303;01.08.2004
6,20421;01.09.2004
6,74127;01.10.2004
