Date,VIX Open,VIX High,VIX Low,VIX Close
02.01.1990,n/a,n/a,n/a,17.24
03.01.1990,n/a,n/a,n/a,18.19
04.01.1990,n/a,n/a,n/a,19.22
05.01.1990,n/a,n/a,n/a,20.11
08.01.1990,n/a,n/a,n/a,20.26
09.01.1990,n/a,n/a,n/a,22.20
10.01.1990,n/a,n/a,n/a,22.44
11.01.1990,n/a,n/a,n/a,20.05
12.01.1990,n/a,n/a,n/a,24.64
15.01.1990,n/a,n/a,n/a,26.34
16.01.1990,n/a,n/a,n/a,24.18
17.01.1990,n/a,n/a,n/a,24.16
18.01.1990,n/a,n/a,n/a,24.34
19.01.1990,n/a,n/a,n/a,22.50
22.01.1990,n/a,n/a,n/a,26.70
23.01.1990,n/a,n/a,n/a,24.72
24.01.1990,n/a,n/a,n/a,25.39
25.01.1990,n/a,n/a,n/a,25.63
26.01.1990,n/a,n/a,n/a,26.28
29.01.1990,n/a,n/a,n/a,26.44
30.01.1990,n/a,n/a,n/a,27.25
31.01.1990,n/a,n/a,n/a,25.36
01.02.1990,n/a,n/a,n/a,24.87
02.02.1990,n/a,n/a,n/a,24.32
05.02.1990,n/a,n/a,n/a,24.54
06.02.1990,n/a,n/a,n/a,24.69
07.02.1990,n/a,n/a,n/a,24.29
08.02.1990,n/a,n/a,n/a,23.77
09.02.1990,n/a,n/a,n/a,23.69
12.02.1990,n/a,n/a,n/a,24.38
13.02.1990,n/a,n/a,n/a,23.76
14.02.1990,n/a,n/a,n/a,22.05
15.02.1990,n/a,n/a,n/a,19.71
16.02.1990,n/a,n/a,n/a,20.78
20.02.1990,n/a,n/a,n/a,22.78
21.02.1990,n/a,n/a,n/a,23.89
22.02.1990,n/a,n/a,n/a,22.54
23.02.1990,n/a,n/a,n/a,23.69
26.02.1990,n/a,n/a,n/a,23.56
27.02.1990,n/a,n/a,n/a,22.69
28.02.1990,n/a,n/a,n/a,21.99
01.03.1990,n/a,n/a,n/a,21.90
02.03.1990,n/a,n/a,n/a,21.34
05.03.1990,n/a,n/a,n/a,22.03
06.03.1990,n/a,n/a,n/a,20.55
07.03.1990,n/a,n/a,n/a,19.10
08.03.1990,n/a,n/a,n/a,19.74
09.03.1990,n/a,n/a,n/a,20.30
12.03.1990,n/a,n/a,n/a,20.07
13.03.1990,n/a,n/a,n/a,21.05
14.03.1990,n/a,n/a,n/a,19.65
15.03.1990,n/a,n/a,n/a,18.81
16.03.1990,n/a,n/a,n/a,17.62
19.03.1990,n/a,n/a,n/a,18.29
20.03.1990,n/a,n/a,n/a,19.06
21.03.1990,n/a,n/a,n/a,20.10
22.03.1990,n/a,n/a,n/a,22.74
23.03.1990,n/a,n/a,n/a,20.46
26.03.1990,n/a,n/a,n/a,19.59
27.03.1990,n/a,n/a,n/a,21.01
28.03.1990,n/a,n/a,n/a,19.77
29.03.1990,n/a,n/a,n/a,18.46
30.03.1990,n/a,n/a,n/a,19.73
02.04.1990,n/a,n/a,n/a,22.84
03.04.1990,n/a,n/a,n/a,20.44
04.04.1990,n/a,n/a,n/a,22.03
05.04.1990,n/a,n/a,n/a,21.21
06.04.1990,n/a,n/a,n/a,21.76
09.04.1990,n/a,n/a,n/a,22.30
10.04.1990,n/a,n/a,n/a,21.69
11.04.1990,n/a,n/a,n/a,17.73
12.04.1990,n/a,n/a,n/a,19.80
16.04.1990,n/a,n/a,n/a,20.75
17.04.1990,n/a,n/a,n/a,20.38
18.04.1990,n/a,n/a,n/a,22.67
19.04.1990,n/a,n/a,n/a,22.46
20.04.1990,n/a,n/a,n/a,23.33
23.04.1990,n/a,n/a,n/a,24.16
24.04.1990,n/a,n/a,n/a,21.70
25.04.1990,n/a,n/a,n/a,20.86
26.04.1990,n/a,n/a,n/a,20.25
27.04.1990,n/a,n/a,n/a,22.19
30.04.1990,n/a,n/a,n/a,19.52
01.05.1990,n/a,n/a,n/a,18.43
02.05.1990,n/a,n/a,n/a,19.32
03.05.1990,n/a,n/a,n/a,17.81
04.05.1990,n/a,n/a,n/a,17.28
07.05.1990,n/a,n/a,n/a,17.65
08.05.1990,n/a,n/a,n/a,18.49
09.05.1990,n/a,n/a,n/a,18.64
10.05.1990,n/a,n/a,n/a,18.59
11.05.1990,n/a,n/a,n/a,19.81
14.05.1990,n/a,n/a,n/a,20.14
15.05.1990,n/a,n/a,n/a,19.49
16.05.1990,n/a,n/a,n/a,17.71
17.05.1990,n/a,n/a,n/a,17.27
18.05.1990,n/a,n/a,n/a,17.20
21.05.1990,n/a,n/a,n/a,16.72
22.05.1990,n/a,n/a,n/a,17.84
23.05.1990,n/a,n/a,n/a,17.18
24.05.1990,n/a,n/a,n/a,17.70
25.05.1990,n/a,n/a,n/a,17.32
29.05.1990,n/a,n/a,n/a,18.75
30.05.1990,n/a,n/a,n/a,17.44
31.05.1990,n/a,n/a,n/a,17.37
01.06.1990,n/a,n/a,n/a,17.09
04.06.1990,n/a,n/a,n/a,18.39
05.06.1990,n/a,n/a,n/a,18.97
06.06.1990,n/a,n/a,n/a,17.42
07.06.1990,n/a,n/a,n/a,16.88
08.06.1990,n/a,n/a,n/a,17.58
11.06.1990,n/a,n/a,n/a,16.34
12.06.1990,n/a,n/a,n/a,16.60
13.06.1990,n/a,n/a,n/a,17.38
14.06.1990,n/a,n/a,n/a,17.40
15.06.1990,n/a,n/a,n/a,15.90
18.06.1990,n/a,n/a,n/a,17.71
19.06.1990,n/a,n/a,n/a,15.23
20.06.1990,n/a,n/a,n/a,15.27
21.06.1990,n/a,n/a,n/a,14.72
22.06.1990,n/a,n/a,n/a,19.36
25.06.1990,n/a,n/a,n/a,17.06
26.06.1990,n/a,n/a,n/a,16.29
27.06.1990,n/a,n/a,n/a,16.00
28.06.1990,n/a,n/a,n/a,16.18
29.06.1990,n/a,n/a,n/a,15.50
02.07.1990,n/a,n/a,n/a,16.26
03.07.1990,n/a,n/a,n/a,16.11
05.07.1990,n/a,n/a,n/a,17.25
06.07.1990,n/a,n/a,n/a,16.41
09.07.1990,n/a,n/a,n/a,16.66
10.07.1990,n/a,n/a,n/a,16.92
11.07.1990,n/a,n/a,n/a,16.68
12.07.1990,n/a,n/a,n/a,17.06
13.07.1990,n/a,n/a,n/a,17.09
16.07.1990,n/a,n/a,n/a,16.75
17.07.1990,n/a,n/a,n/a,16.66
18.07.1990,n/a,n/a,n/a,18.90
19.07.1990,n/a,n/a,n/a,18.56
20.07.1990,n/a,n/a,n/a,15.63
23.07.1990,n/a,n/a,n/a,23.68
24.07.1990,n/a,n/a,n/a,21.79
25.07.1990,n/a,n/a,n/a,20.19
26.07.1990,n/a,n/a,n/a,20.26
27.07.1990,n/a,n/a,n/a,21.12
30.07.1990,n/a,n/a,n/a,21.16
31.07.1990,n/a,n/a,n/a,21.11
01.08.1990,n/a,n/a,n/a,21.64
02.08.1990,n/a,n/a,n/a,20.43
03.08.1990,n/a,n/a,n/a,28.74
06.08.1990,n/a,n/a,n/a,35.91
07.08.1990,n/a,n/a,n/a,32.75
08.08.1990,n/a,n/a,n/a,28.27
09.08.1990,n/a,n/a,n/a,24.39
10.08.1990,n/a,n/a,n/a,25.75
13.08.1990,n/a,n/a,n/a,25.74
14.08.1990,n/a,n/a,n/a,24.18
15.08.1990,n/a,n/a,n/a,23.31
16.08.1990,n/a,n/a,n/a,27.16
17.08.1990,n/a,n/a,n/a,27.53
20.08.1990,n/a,n/a,n/a,26.46
21.08.1990,n/a,n/a,n/a,28.90
22.08.1990,n/a,n/a,n/a,30.55
23.08.1990,n/a,n/a,n/a,36.47
24.08.1990,n/a,n/a,n/a,33.93
27.08.1990,n/a,n/a,n/a,29.63
28.08.1990,n/a,n/a,n/a,29.12
29.08.1990,n/a,n/a,n/a,27.38
30.08.1990,n/a,n/a,n/a,29.89
31.08.1990,n/a,n/a,n/a,29.90
04.09.1990,n/a,n/a,n/a,29.58
05.09.1990,n/a,n/a,n/a,28.52
06.09.1990,n/a,n/a,n/a,30.19
07.09.1990,n/a,n/a,n/a,28.73
10.09.1990,n/a,n/a,n/a,29.34
11.09.1990,n/a,n/a,n/a,28.38
12.09.1990,n/a,n/a,n/a,28.12
13.09.1990,n/a,n/a,n/a,29.33
14.09.1990,n/a,n/a,n/a,30.56
17.09.1990,n/a,n/a,n/a,29.55
18.09.1990,n/a,n/a,n/a,28.82
19.09.1990,n/a,n/a,n/a,27.88
20.09.1990,n/a,n/a,n/a,28.66
21.09.1990,n/a,n/a,n/a,30.04
24.09.1990,n/a,n/a,n/a,30.56
25.09.1990,n/a,n/a,n/a,28.81
26.09.1990,n/a,n/a,n/a,28.19
27.09.1990,n/a,n/a,n/a,28.67
28.09.1990,n/a,n/a,n/a,29.11
01.10.1990,n/a,n/a,n/a,28.06
02.10.1990,n/a,n/a,n/a,27.28
03.10.1990,n/a,n/a,n/a,27.90
04.10.1990,n/a,n/a,n/a,27.51
05.10.1990,n/a,n/a,n/a,27.85
08.10.1990,n/a,n/a,n/a,28.04
09.10.1990,n/a,n/a,n/a,30.71
10.10.1990,n/a,n/a,n/a,31.19
11.10.1990,n/a,n/a,n/a,33.98
12.10.1990,n/a,n/a,n/a,31.94
15.10.1990,n/a,n/a,n/a,31.64
16.10.1990,n/a,n/a,n/a,31.45
17.10.1990,n/a,n/a,n/a,31.37
18.10.1990,n/a,n/a,n/a,29.60
19.10.1990,n/a,n/a,n/a,27.86
22.10.1990,n/a,n/a,n/a,27.27
