DATE,IND,EMP,CON,TIV
32874,-0.93,1.9,7.09,4.09
32905,0.5,1.9,6.89,3.76
32933,0.77,1.9,7.32,4.01
32964,0.54,1.8,6.41,3.94
32994,1.43,1.8,6.31,3.71
33025,1.71,1.7,6.67,4.06
33055,2.52,1.6,6.58,4.17
33086,1.91,1.4,6.29,4.49
33117,2.4,1.1,6.85,4.44
33147,1.7,0.8,6.52,4.66
33178,0.18,0.4,6.27,2.99
33208,-1.08,0.3,4.81,5.18
33239,-0.85,-0.1,2.96,3.71
33270,-2.5,-0.6,3.71,3.6
33298,-3.48,-1,4.21,3.82
33329,-3.14,-1.2,3.64,4.33
33359,-2.38,-1.4,4.17,2.95
33390,-1.81,-1.4,3.57,2.59
33420,-1.56,-1.4,3.78,2.95
33451,-1.8,-1.2,3.14,2.81
33482,-1.05,-1.1,2.96,2.97
33512,-0.48,-0.9,2.72,3.65
33543,0.59,-0.8,3.4,3.28
33573,0.85,-0.8,4.12,3.68
33604,0.72,-0.6,6.34,4.32
33635,2.15,-0.4,6.02,4.1
33664,3.55,-0.2,5.21,4.78
33695,4.12,0.1,5.74,4.81
33725,3.43,0.4,5.73,4.54
33756,2.51,0.4,6,4.16
33786,3.31,0.5,6.02,5.28
33817,2.72,0.6,6.34,5.37
33848,2.05,0.6,6.79,6.01
33878,2.99,0.7,7.76,6.28
33909,3.55,0.9,7.42,5.19
33939,4.06,1.1,7.86,4.56
33970,5.09,1.3,6.27,4.77
34001,4.81,1.6,6.24,5.11
34029,3.8,1.5,5.72,5.26
34060,3.38,1.6,6.34,4.23
34090,2.69,1.8,6.35,4.19
34121,2.84,1.9,6.29,3.68
34151,2.24,2.1,6.28,5.44
34182,2.63,2.1,6.16,4.13
34213,2.89,2.3,6.02,3.97
34243,2.9,2.4,5.79,4.3
34274,2.89,2.5,5.9,4.54
34304,3.36,2.6,5.41,3.86
34335,3.31,2.6,5.63,4
34366,2.88,2.5,6.37,4.04
34394,4.06,3,6.74,5.06
34425,4.28,3,6.32,6.34
34455,5.18,3,5.59,6.35
34486,5.68,3.2,6.06,6.23
34516,5.52,3.2,5.63,5.68
34547,6.25,3.3,6.28,4.93
34578,6.15,3.4,5.84,4.6
34608,6.23,3.3,6.18,4.94
34639,6.45,3.5,5.96,4.93
34669,6.98,3.4,5.92,4.71
34700,6.77,3.5,5.8,5.12
34731,6.57,3.5,4.71,5.08
34759,5.66,3.2,5.15,5.1
34790,5,3.1,4.69,4.62
34820,4.82,2.7,5.65,5.3
34851,4.5,2.7,5.7,6.25
34881,3.93,2.4,5.29,5.92
34912,4.62,2.4,5.1,5.41
34943,4.64,2.3,5.14,4.67
34973,3.63,2.2,4.18,4.66
35004,3.26,2,4.77,3.82
35034,2.58,1.9,5.29,3.99
35065,1.72,1.6,4.83,4.35
35096,3.45,1.7,5.81,4.88
35125,3.21,1.8,5.89,5.34
35156,4.22,1.8,6.5,5.73
35186,4.63,2.1,5.89,5.42
35217,5.15,2.1,5.07,5.63
35247,5.44,2.2,5.67,6.28
35278,4.73,2.2,5.39,5.56
35309,5.03,2.2,5.5,5.54
35339,5.09,2.2,6.27,5.36
35370,5.76,2.4,5.85,4.65
35400,6.04,2.4,5.51,4.52
35431,6.89,2.6,6.4,4.88
35462,6.54,2.5,5.87,4.25
35490,7.35,2.5,5.43,4.21
35521,6.4,2.6,4.83,4.38
35551,6.25,2.6,4.53,3.8
35582,5.87,2.5,5.06,3.55
35612,6.82,2.6,5.65,3.62
35643,7.31,2.4,5.91,3.67
35674,7.53,2.6,5.76,3.71
35704,8.52,2.7,5.8,4.84
35735,8.51,2.7,5.79,3.5
35765,8.14,2.8,5.83,3.64
35796,8.54,2.8,5.15,4.28
35827,7.39,2.7,5.33,3.57
35855,6.74,2.6,5.43,3.76
35886,7.11,2.6,6.02,3.66
35916,7.17,2.7,6.92,3.27
35947,5.98,2.7,6.87,3.18
35977,4.81,2.5,6.15,2.82
36008,5.86,2.8,6.05,4.67
36039,4.72,2.6,6.5,5.58
36069,4.67,2.4,6.41,5.95
36100,3.69,2.4,6.26,4.27
36130,3.75,2.4,6.65,5.24
36161,3.71,2.3,6.73,4.29
36192,4.12,2.5,6.6,4.95
