Date,GDP,TIV
32932,2.8213,3.953333333
33023,2.41276,3.903333333
33115,1.72721,4.366666667
33207,0.60288,4.276666667
33297,-0.9502,3.71
33388,-0.53884,3.29
33480,-0.10272,2.91
33572,1.16642,3.536666667
33663,2.85865,4.4
33754,3.16957,4.503333333
33846,3.66535,5.553333333
33937,4.38298,5.343333333
34027,3.32091,5.046666667
34118,2.80787,4.033333333
34211,2.28771,4.513333333
34302,2.60856,4.233333333
34394,3.43094,4.366666667
34484,4.22545,6.306666667
34576,4.33665,5.07
34668,4.11576,4.86
34759,3.48112,5.1
34849,2.40225,5.39
34941,2.67322,5.333333333
35032,2.19967,4.156666667
35124,2.60111,4.856666667
35215,4.00206,5.593333333
35307,4.04982,5.793333333
35399,4.42122,4.843333333
35490,4.31406,4.446666667
35580,4.30807,3.91
35672,4.67389,3.666666667
35763,4.48786,3.993333333
35854,4.85529,3.87
35945,4.09597,3.37
36037,4.09774,4.356666667
36129,4.87911,5.153333333
36218,4.82407,4.476666667
36309,4.66137,4.633333333
36402,4.72039,4.946666667
36493,4.80665,4.183333333
36585,4.19958,4.88
36676,5.29774,4.713333333
36768,4.07533,3.756666667
36859,2.97348,4.016666667
36950,2.30971,5.173333333
37041,1.05724,4.77
37133,0.50359,4.953333333
37225,0.15349,6.146666667
37315,1.31828,5.69
37406,1.33961,5.333333333
37498,2.21437,7.096666667
37590,2.09454,6.383333333
37681,1.77093,5.893333333
37771,2.0284,5.116666667
37863,3.30181,7.22
37954,4.32636,6.376666667
38045,4.30456,5.693333333
38136,4.20302,5.58
38229,3.43159,5.333333333
38320,3.28179,4.626666667
38412,3.87068,4.303333333
38502,3.56089,4.123333333
38594,3.5055,3.753333333
38686,3.12611,3.54
38777,3.35389,3.28
38867,3.11947,3.22
38959,2.3665,3.22
39050,2.5907,3.25
39141,1.48229,3.533333333
39232,1.82569,3.366666667
39324,2.22081,5.276666667
39416,1.97348,6.1
39507,1.14924,6.013333333
39598,1.09243,6.396666667
39690,0.00188,7.503333333
39781,-2.75308,7.27
39872,-3.28907,6.14
39963,-3.92445,6.39
40055,-3.04978,5.813333333
40147,0.18287,5.123333333
40236,1.71025,4.22
40327,2.79607,4.743333333
40420,3.17821,4.61
40511,2.56945,5.243333333
40603,1.93063,5.02
40693,1.7215,4.643333333
40785,0.94904,4.493333333
40877,1.60935,3.656666667
40968,2.65176,2.903333333
41059,2.36151,2.523333333
41151,2.52812,2.39
