IND,EMP,CON,DATE
-0.93,1.9,7.09,32874
0.5,1.9,6.89,32905
0.77,1.9,7.32,32933
0.54,1.8,6.41,32964
1.43,1.8,6.31,32994
1.71,1.7,6.67,33025
2.52,1.6,6.58,33055
1.91,1.4,6.29,33086
2.4,1.1,6.85,33117
1.7,0.8,6.52,33147
0.18,0.4,6.27,33178
-1.08,0.3,4.81,33208
-0.85,-0.1,2.96,33239
-2.5,-0.6,3.71,33270
-3.48,-1,4.21,33298
-3.14,-1.2,3.64,33329
-2.38,-1.4,4.17,33359
-1.81,-1.4,3.57,33390
-1.56,-1.4,3.78,33420
-1.8,-1.2,3.14,33451
-1.05,-1.1,2.96,33482
-0.48,-0.9,2.72,33512
0.59,-0.8,3.4,33543
0.85,-0.8,4.12,33573
0.72,-0.6,6.34,33604
2.15,-0.4,6.02,33635
3.55,-0.2,5.21,33664
4.12,0.1,5.74,33695
3.43,0.4,5.73,33725
2.51,0.4,6,33756
3.31,0.5,6.02,33786
2.72,0.6,6.34,33817
2.05,0.6,6.79,33848
2.99,0.7,7.76,33878
3.55,0.9,7.42,33909
4.06,1.1,7.86,33939
5.09,1.3,6.27,33970
4.81,1.6,6.24,34001
3.8,1.5,5.72,34029
3.38,1.6,6.34,34060
2.69,1.8,6.35,34090
2.84,1.9,6.29,34121
2.24,2.1,6.28,34151
2.63,2.1,6.16,34182
2.89,2.3,6.02,34213
2.9,2.4,5.79,34243
2.89,2.5,5.9,34274
3.36,2.6,5.41,34304
3.31,2.6,5.63,34335
2.88,2.5,6.37,34366
4.06,3,6.74,34394
4.28,3,6.32,34425
5.18,3,5.59,34455
5.68,3.2,6.06,34486
5.52,3.2,5.63,34516
6.25,3.3,6.28,34547
6.15,3.4,5.84,34578
6.23,3.3,6.18,34608
6.45,3.5,5.96,34639
6.98,3.4,5.92,34669
6.77,3.5,5.8,34700
6.57,3.5,4.71,34731
5.66,3.2,5.15,34759
5,3.1,4.69,34790
4.82,2.7,5.65,34820
4.5,2.7,5.7,34851
3.93,2.4,5.29,34881
4.62,2.4,5.1,34912
4.64,2.3,5.14,34943
3.63,2.2,4.18,34973
3.26,2,4.77,35004
2.58,1.9,5.29,35034
1.72,1.6,4.83,35065
3.45,1.7,5.81,35096
3.21,1.8,5.89,35125
4.22,1.8,6.5,35156
4.63,2.1,5.89,35186
5.15,2.1,5.07,35217
5.44,2.2,5.67,35247
4.73,2.2,5.39,35278
5.03,2.2,5.5,35309
5.09,2.2,6.27,35339
5.76,2.4,5.85,35370
6.04,2.4,5.51,35400
6.89,2.6,6.4,35431
6.54,2.5,5.87,35462
7.35,2.5,5.43,35490
6.4,2.6,4.83,35521
6.25,2.6,4.53,35551
5.87,2.5,5.06,35582
6.82,2.6,5.65,35612
7.31,2.4,5.91,35643
7.53,2.6,5.76,35674
8.52,2.7,5.8,35704
8.51,2.7,5.79,35735
8.14,2.8,5.83,35765
8.54,2.8,5.15,35796
7.39,2.7,5.33,35827
6.74,2.6,5.43,35855
7.11,2.6,6.02,35886
7.17,2.7,6.92,35916
5.98,2.7,6.87,35947
4.81,2.5,6.15,35977
5.86,2.8,6.05,36008
4.72,2.6,6.5,36039
4.67,2.4,6.41,36069
3.69,2.4,6.26,36100
3.75,2.4,6.65,36130
3.71,2.3,6.73,36161
4.12,2.5,6.6,36192
4.22,2.4,6.65,36220
4.12,2.5,7.05,36251
4.17,2.4,6.64,36281
4.65,2.4,6.51,36312
5.68,2.5,6.65,36342
3.99,2.4,6.78,36373
3.76,2.4,6.93,36404
4.3,2.5,6.72,36434
4.86,2.5,7.02,36465
5.28,2.5,7.71,36495
4.8,2.6,7.61,36526
4.56,2.3,8.49,36557
4.77,2.6,9.02,36586
5.24,2.6,7.66,36617
4.7,2.6,7.74,36647
4.97,2.3,7.83,36678
4.16,2.2,7.68,36708
3.42,2.1,7.47,36739
4.26,2,7.9,36770
2.58,1.7,7.59,36800
2.13,1.6,7.22,36831
1.06,1.5,6.22,36861
0.39,1.3,6.76,36892
-0.55,1.3,5.68,36923
-1.14,0.9,4.52,36951
-2.13,0.4,4.95,36982
-2.89,0.2,5.06,37012
-3.57,0.2,4.7,37043
-3.97,0,4.55,37073
-3.81,-0.1,4.56,37104
-4.55,-0.4,1.89,37135
-4.68,-0.7,4.65,37165
-5.17,-1.1,3.85,37196
-4.89,-1.3,2.91,37226
-3.67,-1.4,2.83,37257
-3.07,-1.5,3.18,37288
-2.05,-1.5,3.57,37316
-1.36,-1.4,4.34,37347
